,videoId,title,viewCount,likeCount,dislikeCount,date,Query
82,0CNMFqa3jVw,"Ethereum ETH November 13 Technical Analysis - 75% Gain. See you at $540 Low Risk, High Reward setup,",15344,347,15,2017-11,ethereum
83,DGDwvX0N2MA,"Mike Novogratz Says BItcoin Price Could Reach $40,000 in 2018 Ethereum to $1500",8198,116,9,2017-11,ethereum
84,es_lWQkbnzI,Биткоин 10000$ теперь точно. Ethereum Casper FFG,5531,243,15,2017-11,ethereum
85,bhgGSOlVxIY,"BITCOIN $10,000-!- Ethereum- Litecoin- 2018 Price Predictions... Or guesses really.",14031,558,19,2017-11,ethereum
86,WCEsxf1hDxE,Why Hasn't Ethereum Price Increased After Metropolis?,19531,299,20,2017-10,ethereum
87,Vdy0h1bOehk,Should You Buy Genesis Mining Ethereum Contracts? (The Truth...),18405,1912,31,2017-11,ethereum
88,Ai3uxwPiLe4,Why I Bought Ethereum,3229,127,9,2017-11,ethereum
89,HoyoFXFrR74,Ethereum This Week In Review: Parabolic Move!,548,17,1,2017-11,ethereum
90,WfULutvxvzY,Ethereum's Blockchain | Trust Disrupted: Bitcoin and the Blockchain S1:E5,163745,1622,55,2016-10,ethereum
91,yuT2iKJgOSM,Ethereum dead? Boxmining and Ivan on Tech explain.,41782,1264,53,2017-11,ethereum
92,3qjtiu9nH7Y,"BitcoinCash — затишье перед бурей. Litecoin, Ethereum, Waves, Cardano, EOS | Обзор TSI Analytics",5589,596,17,2017-11,ethereum
93,gJfiKIp38eY,Che succede ??? Bitcoin Scende e Perde il 25% seguito da Ethereum e Litecoin,4127,180,4,2017-11,ethereum
94,C9JVg97pCqU,"¡¡¡ ETHEREUM 2.0,  EVOLUTION !!!",10371,323,23,2017-11,ethereum
95,4F1nrBFXElc,Watch For Ethereum To Break Out To $700 - Technical Analysis On Ethereum,13065,368,14,2017-11,ethereum
96,hhJB_yd2OZo,"Ethereum Long Term Cryptocurrency Technical Analysis! ($1,000 In 2018?)",18696,1087,32,2017-10,ethereum
97,b9UVDBqDNnI,Bitcoin ve Ethereum Piyasasındaki Son Gelişmeler,14013,541,35,2017-11,ethereum
98,hsZykD0dGEI,"Ripple XRP Hedge Fund, Ethereum Wallet Support, Circle Crypto Investments - 156",6248,254,5,2017-11,ethereum
99,9blhhxpC3wk,Ethereum трейд плюс +300 000$,13652,514,46,2017-11,ethereum
100,sJAXH2FN9Dc,Bcash is garbage compared to Bitcoin says Richard Heart. Rhett Creighton says otherwise,50153,1354,120,2017-10,Bcash
101,IfAnshCKW9s,b c a s h,1604,36,2,2017-11,Bcash
102,mB0mG7wMvM8,Roger Ver on Bitcoin Cash (more responsibly called Bcash),7268,204,43,2017-11,Bcash
103,OYlE2wH1BeM,Something Big Going down in BCash (Bitcoiners Watch in Suspense),21443,1066,51,2017-08,Bcash
104,Q18sW9bJY5Q,BCASH É FRAUDE FUI ROUBADO? PELA BCASH PayU bcash.com.br,5566,86,3,2015-11,Bcash
